symbol,display_symbol,name_en,name_local,sector,description,open,high,low,close,prev_close,price,change_pct,gap_pct,candle_body_pct,candle_range_pct,upper_shadow_pct,lower_shadow_pct,candle_type,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,price_to_book,return_on_equity,revenue_growth,market_cap,target_price,upside_pct,macd,macd_signal,macd_hist,macd_state,bollinger_width_pct,bollinger_percent_b,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,near_count,chart_score,technical_score,fundamental_score,theme_score,flow_score,composite_score
134380.KS,134380,미원화학,미원화학,Unknown,미원화학 (KOSPI),12760.0,12900.0,12760.0,12820.0,12750.0,12820.0,0.55,0.08,0.47,1.1,0.63,0.0,Bullish,55.8,14790.0,7750.0,-13.3,0.56,,,,,,,,334.0124,366.7311,-32.7187,Bearish,28.26,0.607,Strong Uptrend,5,11508.0,11.4,False,10368.0,23.65,False,9331.0,37.39,False,0,68.0,64.4,50,49.6,67.5,60.69
004980.KS,004980,성신양회,성신양회,Unknown,성신양회 (KOSPI),11770.0,11770.0,11430.0,11430.0,11850.0,11430.0,-3.54,-0.68,-2.89,2.89,0.0,0.0,Strong Bearish,55.1,13230.0,8490.0,-13.6,0.24,,,,,,,,486.503,476.3717,10.1313,Positive,44.38,0.6,Strong Uptrend,5,10193.0,12.14,False,9956.0,14.81,False,9847.0,16.08,False,0,68.0,64.6,50,49.6,52.75,59.26
000050.KS,000050,경방,경방,Unknown,경방 (KOSPI),10230.0,10290.0,10080.0,10100.0,10220.0,10100.0,-1.17,0.1,-1.27,2.05,0.59,0.2,Bearish,58.5,12060.0,6480.0,-16.3,1.15,,,,,,,,186.8939,132.3631,54.5308,Positive,17.64,0.762,Strong Uptrend,5,9792.0,3.15,False,9003.0,12.18,False,8219.0,22.89,False,0,75.0,70.6,50,49.6,61.25,63.71
004310.KS,004310,현대약품,현대약품,Unknown,현대약품 (KOSPI),0.0,8620.0,8620.0,8620.0,8910.0,8620.0,-3.25,-100.0,,,,,Flat,45.6,14340.0,3310.0,-39.9,0.0,,,,,,,,-165.2645,-263.9356,98.6711,Positive,8.57,0.519,Neutral,3,10048.0,-14.21,False,8510.0,1.29,True,6122.0,40.8,False,1,54.67,70.6,50,49.6,46.0,56.09
084680.KS,084680,이월드,이월드,Unknown,이월드 (KOSPI),1953.0,1975.0,1904.0,1924.0,1953.0,1924.0,-1.48,0.0,-1.48,3.64,1.13,1.02,Bearish,60.4,1985.0,1281.0,-3.1,0.24,,,,,,,,75.9813,75.4261,0.5552,Positive,20.23,0.67,Strong Uptrend,5,1693.0,13.64,False,1561.0,23.25,False,1542.0,24.77,False,0,65.0,62.6,50,49.6,51.5,57.74
226320.KS,226320,잇츠한불,잇츠한불,Unknown,잇츠한불 (KOSPI),12710.0,12760.0,12300.0,12370.0,13160.0,12370.0,-6.0,-3.42,-2.68,3.62,0.39,0.55,Strong Bearish,67.0,14630.0,9860.0,-15.4,1.85,,,,,,,,441.4414,181.1565,260.2849,Bullish,31.78,0.989,Strong Downtrend,1,10799.0,14.55,False,11117.0,11.27,False,11952.0,3.5,False,0,27.0,67.0,50,49.6,64.25,48.72
008350.KS,008350,남선알미늄,남선알미늄,Unknown,남선알미늄 (KOSPI),0.0,2105.0,2105.0,2105.0,2210.0,2105.0,-4.75,-100.0,,,,,Flat,48.8,3080.0,1008.0,-31.7,0.0,,,,,,,,130.0656,201.8141,-71.7485,Bearish,50.4,0.295,Strong Uptrend,5,1697.0,24.04,False,1411.0,49.18,False,1299.0,62.05,False,0,60.0,60.0,50,49.6,46.0,55.04
000430.KS,000430,대원강업,대원강업,Unknown,대원강업 (KOSPI),4340.0,4445.0,4340.0,4365.0,4330.0,4365.0,0.81,0.23,0.58,2.42,1.84,0.0,Bullish,55.9,4500.0,3580.0,-3.0,0.94,,,,,,,,87.0611,91.0634,-4.0023,Bearish,14.34,0.604,Uptrend,4,4135.0,5.56,False,4081.0,6.96,False,3946.0,10.62,False,0,53.0,67.4,50,49.6,61.75,56.36
030210.KS,030210,다올투자증권,다올투자증권,Unknown,다올투자증권 (KOSPI),4510.0,4525.0,4395.0,4415.0,4505.0,4415.0,-2.0,0.11,-2.11,2.88,0.33,0.44,Strong Bearish,56.3,5370.0,3155.0,-17.8,1.36,,,,,,,,71.0212,34.5107,36.5106,Positive,16.24,0.769,Strong Uptrend,5,4288.0,2.96,False,3916.0,12.74,False,3747.0,17.83,False,0,75.0,73.6,50,49.6,61.25,64.47
007160.KS,007160,사조산업,사조산업,Unknown,사조산업 (KOSPI),53500.0,53900.0,53000.0,53100.0,53300.0,53100.0,-0.38,0.38,-0.75,1.68,0.75,0.19,Bearish,47.3,72200.0,34250.0,-26.5,0.73,,,,,,,,-211.8217,-272.5395,60.7178,Positive,7.16,0.454,Neutral,3,56448.0,-5.93,False,55457.0,-4.25,False,53153.0,-0.1,True,1,62.67,67.6,50,49.6,57.25,58.87
