symbol,display_symbol,name_en,name_local,sector,description,open,high,low,close,prev_close,price,change_pct,gap_pct,candle_body_pct,candle_range_pct,upper_shadow_pct,lower_shadow_pct,candle_type,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,price_to_book,return_on_equity,revenue_growth,market_cap,target_price,upside_pct,macd,macd_signal,macd_hist,macd_state,bollinger_width_pct,bollinger_percent_b,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,near_count,chart_score,technical_score,fundamental_score,theme_score,flow_score,composite_score
288330.KQ,288330,파라택시스코리아,파라택시스코리아,Unknown,파라택시스코리아 (KOSDAQ),0.0,0.0,0.0,416.0,416.0,416.0,0.0,-100.0,,,,,Flat,31.0,3415.0,416.0,-87.8,,,,,,,,,-49.9219,-63.6896,13.7676,Positive,7.64,0.427,Strong Downtrend,0,640.0,-35.0,False,828.0,-49.76,False,1358.0,-69.37,False,0,0.0,72.0,50.0,62.61,45.67,41.96
228340.KQ,228340,동양파일,동양파일,Unknown,동양파일 (KOSDAQ),2310.0,2310.0,2120.0,2185.0,2270.0,2185.0,-3.74,1.76,-5.41,8.23,0.0,2.81,Strong Bearish,57.8,2415.0,1565.0,-9.5,1.58,,,,,,,,15.4655,-8.7719,24.2374,Bullish,16.0,0.928,Strong Uptrend,5,2093.0,4.4,False,1922.0,13.68,False,1912.0,14.28,False,0,75.0,72.0,50.0,62.61,58.5,65.74
277410.KQ,277410,인산가,인산가,Unknown,인산가 (KOSDAQ),1130.0,1136.0,1124.0,1134.0,1130.0,1134.0,0.35,0.0,0.35,1.06,0.18,0.53,Bullish Reversal,45.5,1564.0,1067.0,-27.5,0.82,,,,,,,,2.5817,6.0654,-3.4838,Bearish,9.73,0.386,Strong Downtrend,0,1146.0,-1.05,True,1168.0,-2.91,False,1222.0,-7.2,False,1,26.67,70.6,50.0,62.61,61.0,51.14
387570.KQ,387570,파인메딕스,파인메딕스,Unknown,파인메딕스 (KOSDAQ),7450.0,7970.0,7430.0,7700.0,7370.0,7700.0,4.48,1.09,3.36,7.25,3.62,0.27,Bullish,61.1,9300.0,6050.0,-17.2,0.63,,,,,,,,178.6749,119.8057,58.8692,Bullish,26.71,0.869,Strong Downtrend,1,6941.0,10.94,False,7343.0,4.86,False,7598.0,1.34,True,1,38.67,68.4,50.0,62.61,70.0,55.09
462510.KQ,462510,라메디텍,라메디텍,Unknown,라메디텍 (KOSDAQ),5060.0,5150.0,4920.0,4920.0,4995.0,4920.0,-1.5,1.3,-2.77,4.55,1.78,0.0,Bearish,46.9,9010.0,4100.0,-45.4,1.02,,,,,,,,24.0358,20.8745,3.1614,Positive,15.82,0.456,Strong Downtrend,0,5048.0,-2.54,False,5818.0,-15.43,False,6686.0,-26.41,False,0,0.0,70.6,50.0,62.61,54.5,42.49
038870.KQ,038870,에코심플렉스,에코심플렉스,Unknown,에코심플렉스 (KOSDAQ),3200.0,3250.0,3120.0,3120.0,3200.0,3120.0,-2.5,0.0,-2.5,4.06,1.56,0.0,Bearish,50.2,5590.0,2620.0,-44.2,0.25,,,,,,,,35.1201,37.345,-2.2249,Bearish,9.61,0.418,Downtrend,2,3045.0,2.46,False,3145.0,-0.79,True,3535.0,-11.74,False,1,42.67,57.0,50.0,62.61,46.0,51.04
133750.KQ,133750,메가엠디,메가엠디,Unknown,메가엠디 (KOSDAQ),1894.0,1896.0,1857.0,1872.0,1895.0,1872.0,-1.21,-0.05,-1.16,2.06,0.11,0.79,Bearish,53.0,2710.0,1734.0,-30.9,1.18,,,,,,,,9.7808,6.5365,3.2443,Positive,7.78,0.632,Neutral,3,1866.0,0.32,True,1838.0,1.85,True,1948.0,-3.9,False,2,61.33,70.6,50.0,62.61,54.5,60.89
290520.KQ,290520,신도기연,신도기연,Unknown,신도기연 (KOSDAQ),2880.0,2900.0,2710.0,2725.0,2900.0,2725.0,-6.03,-0.69,-5.38,6.6,0.69,0.52,Strong Bearish,62.5,2900.0,1390.0,-6.0,0.47,,,,,,,,141.2488,117.2742,23.9746,Bullish,32.08,0.825,Strong Uptrend,5,2066.0,31.9,False,1901.0,43.35,False,1788.0,52.4,False,0,68.0,58.0,50.0,62.61,47.0,58.99
406820.KQ,406820,뷰티스킨,뷰티스킨,Unknown,뷰티스킨 (KOSDAQ),0.0,3005.0,3005.0,3005.0,3105.0,3005.0,-3.22,-100.0,,,,,Flat,71.7,6850.0,1772.0,-56.1,0.0,,,,,,,,224.0134,73.7023,150.3111,Positive,86.87,0.925,Strong Downtrend,1,2303.0,30.48,False,3016.0,-0.36,True,3051.0,-1.51,True,2,29.33,49.6,50.0,62.61,40.25,44.62
032790.KQ,032790,엠젠솔루션,엠젠솔루션,Unknown,엠젠솔루션 (KOSDAQ),879.0,911.0,832.0,833.0,873.0,833.0,-4.58,0.69,-5.23,8.99,3.64,0.11,Bearish,46.9,1295.0,625.0,-35.7,1.2,,,,,,,,-2.3072,5.2143,-7.5215,Improving,26.84,0.288,Strong Downtrend,1,830.0,0.36,True,942.0,-11.57,False,983.0,-15.26,False,1,30.67,74.6,50.0,62.61,50.0,52.24
258790.KQ,258790,소프트캠프,소프트캠프,Unknown,소프트캠프 (KOSDAQ),0.0,1718.0,1718.0,1718.0,1662.0,1718.0,3.37,-100.0,,,,,Flat,54.4,1993.0,999.0,-13.8,0.0,,,,,,,,132.1956,139.0979,-6.9023,Bearish,67.16,0.575,Strong Uptrend,5,1398.0,22.89,False,1383.0,24.22,False,1303.0,31.85,False,0,68.0,60.0,50.0,62.61,63.5,61.14
012620.KQ,012620,원일특강,원일특강,Unknown,원일특강 (KOSDAQ),9600.0,9740.0,9400.0,9650.0,9660.0,9650.0,-0.1,-0.62,0.52,3.54,0.94,2.08,Bullish Reversal,62.5,9720.0,7100.0,-0.7,2.3,,,,,,,,114.7142,79.7184,34.9958,Bullish,8.54,1.04,Strong Uptrend,5,8983.0,7.43,False,8456.0,14.12,False,8171.0,18.1,False,0,65.0,75.6,50.0,62.61,68.0,64.59
046390.KQ,046390,삼화네트웍스,삼화네트웍스,Unknown,삼화네트웍스 (KOSDAQ),0.0,0.0,0.0,991.0,991.0,991.0,0.0,-100.0,,,,,Flat,50.1,1661.0,718.0,-40.3,,,,,,,,,1.3523,7.7688,-6.4165,Improving,8.09,0.312,Strong Downtrend,1,962.0,3.01,False,1076.0,-7.9,False,1215.0,-18.44,False,0,19.0,75.75,50.0,62.61,53.33,49.36
013810.KQ,013810,스페코,스페코,Unknown,스페코 (KOSDAQ),2965.0,2975.0,2910.0,2935.0,2965.0,2935.0,-1.01,0.0,-1.01,2.19,0.34,0.84,Bearish,51.0,3530.0,2340.0,-16.9,0.2,,,,,,,,46.5457,60.6543,-14.1086,Bearish,7.97,0.332,Uptrend,4,2802.0,4.75,False,2624.0,11.85,False,2793.0,5.08,False,0,63.0,57.0,50.0,62.61,57.25,58.27
114630.KQ,114630,폴라리스우노,폴라리스우노,Unknown,폴라리스우노 (KOSDAQ),2460.0,2595.0,2380.0,2400.0,2465.0,2400.0,-2.64,-0.2,-2.44,8.74,5.49,0.81,Bearish Rejection,49.9,2795.0,2310.0,-14.1,10.82,,,,,,,,-12.7029,-24.2237,11.5208,Positive,3.92,0.798,Strong Downtrend,0,2466.0,-2.68,False,2477.0,-3.11,False,2526.0,-4.99,False,0,15.0,70.6,50.0,62.61,58.5,47.39
462980.KQ,462980,아이지넷,아이지넷,Unknown,아이지넷 (KOSDAQ),2290.0,2360.0,2245.0,2315.0,2290.0,2315.0,1.09,0.0,1.09,5.02,1.97,1.97,Bullish,46.2,3660.0,1771.0,-36.7,0.52,,,,,,,,18.2837,46.9575,-28.6738,Bearish,12.81,0.125,Uptrend,4,2232.0,3.72,False,2089.0,10.82,False,2389.0,-3.1,False,0,55.0,61.4,50.0,62.61,54.25,56.67
440320.KQ,440320,오픈놀,오픈놀,Unknown,오픈놀 (KOSDAQ),4385.0,4470.0,4240.0,4260.0,4370.0,4260.0,-2.52,0.34,-2.85,5.25,1.94,0.46,Bearish,72.3,10700.0,3180.0,-60.2,0.42,,,,,,,,185.3397,86.5033,98.8364,Bullish,38.79,1.006,Strong Downtrend,1,3538.0,20.41,False,3711.0,14.79,False,4431.0,-3.86,False,0,11.0,46.0,50.0,62.61,40.25,38.22
013720.KQ,013720,THE CUBE&,THE CUBE&,Unknown,THE CUBE& (KOSDAQ),691.0,717.0,682.0,694.0,692.0,694.0,0.29,-0.14,0.43,5.07,3.33,1.3,Long Upper Doji,33.7,1985.0,645.0,-65.0,0.44,,,,,,,,-37.2114,-7.4977,-29.7137,Improving,44.24,0.057,Strong Downtrend,1,828.0,-16.18,False,807.0,-14.0,False,985.0,-29.54,False,0,4.0,58.2,50.0,62.61,48.5,39.99
221980.KQ,221980,케이디켐,케이디켐,Unknown,케이디켐 (KOSDAQ),10470.0,10480.0,10360.0,10430.0,10490.0,10430.0,-0.57,-0.19,-0.38,1.15,0.1,0.67,Bearish,55.1,11560.0,10140.0,-9.8,0.66,,,,,,,,40.5983,31.7044,8.8939,Positive,3.19,0.694,Strong Downtrend,1,10348.0,0.79,True,10436.0,-0.06,True,10806.0,-3.48,False,2,45.33,67.6,50.0,62.61,51.5,55.04
