symbol,display_symbol,name_en,name_local,sector,description,price,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,target_price,upside_pct,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,composite_score,near_count
ITW,ITW,Illinois Tool Works Inc.,Illinois Tool Works Inc.,산업재,"Illinois Tool Works Inc. provides industrial products and equipment in North America, Europe, the Middle East, Africa, t",269.29,51.0,297.72,233.34,-9.5,0.97,25.6,275.88,2.4,Uptrend,4,274.37,-1.85,True,261.15,3.12,False,255.47,5.41,False,27.6,1
INTC,INTC,Intel Corporation,Intel Corporation,기술,"Intel Corporation designs, develops, manufactures, markets, sells, and services computing and related end products and s",82.54,82.2,82.54,19.31,0.0,2.54,,74.15,-10.2,Strong Uptrend,5,50.63,63.03,False,45.37,81.93,False,35.59,131.92,False,5.0,0
PODD,PODD,Insulet Corporation,Insulet Corporation,헬스케어,"Insulet Corporation develops, manufactures, and sells insulin delivery systems for people with insulin-dependent diabete",189.56,26.4,352.82,189.56,-46.3,1.35,54.3,326.35,72.2,Strong Downtrend,0,227.53,-16.69,False,264.52,-28.34,False,289.55,-34.53,False,25.0,0
IBKR,IBKR,"Interactive Brokers Group, Inc.","Interactive Brokers Group, Inc.",금융 서비스,"Interactive Brokers Group, Inc. operates as an automated electronic broker in the United States and internationally. The",76.62,56.9,81.71,42.05,-6.2,0.63,33.0,85.7,11.9,Strong Uptrend,5,71.87,6.61,False,69.88,9.65,False,65.3,17.34,False,21.0,0
ICE,ICE,"Intercontinental Exchange, Inc.","Intercontinental Exchange, Inc.",금융 서비스,"Intercontinental Exchange, Inc., together with its subsidiaries, provides technology and data to financial institutions,",158.45,45.6,186.76,144.69,-15.2,1.02,27.5,198.8,25.5,Downtrend,2,160.72,-1.41,True,160.0,-0.97,True,166.53,-4.85,False,65.48,2
INVH,INVH,Invitation Homes Inc.,Invitation Homes Inc.,부동산·리츠,"Invitation Homes is a leading owner and operator of single-family homes for lease, offering residents high quality homes",27.13,62.9,34.01,24.1,-20.2,0.8,28.3,30.86,13.7,Strong Downtrend,1,25.77,5.28,False,26.36,2.92,False,28.24,-3.93,False,16.0,0
IP,IP,International Paper Company,International Paper Company,경기 소비재,"International Paper Company produces and sells renewable fiber-based packaging in North America, Latin America, Europe, ",32.65,31.9,53.93,32.65,-39.5,1.18,,42.7,30.8,Strong Downtrend,1,39.58,-17.51,False,39.28,-16.88,False,43.0,-24.07,False,25.0,0
IVZ,IVZ,Invesco Ltd.,Invesco Ltd.,금융 서비스,"Invesco Ltd. is a publicly owned investment manager. The firm provides its services to retail clients, institutional cli",25.51,59.1,29.2,13.37,-12.6,1.05,,27.0,5.8,Neutral,3,24.96,2.2,False,25.35,0.63,True,22.26,14.6,False,32.48,1
IFF,IFF,International Flavors & Fragrances Inc.,International Flavors & Fragrances Inc.,원자재,"International Flavors & Fragrances Inc., together with its subsidiaries, manufactures and markets food, beverage, health",71.14,46.5,82.51,58.84,-13.8,0.68,,88.41,24.3,Uptrend,4,73.74,-3.53,False,70.14,1.43,True,69.28,2.68,False,41.28,1
IQV,IQV,IQVIA Holdings Inc.,IQVIA Holdings Inc.,헬스케어,"IQVIA Holdings Inc. provides clinical research services, commercial insights, and healthcare intelligence to the life sc",162.28,39.3,244.29,137.0,-33.6,0.78,20.7,231.6,42.7,Strong Downtrend,1,175.31,-7.43,False,201.19,-19.34,False,189.43,-14.33,False,30.0,0
